location_id,window_start,window_end,pm25_avg,samples
2622926,2024-04-11 16:00:00,2024-04-11 16:15:00,18.0,1
2623412,2024-04-12 22:00:00,2024-04-12 22:15:00,24.0,1
2623765,2024-04-12 22:00:00,2024-04-12 22:15:00,30.0,1
2623393,2024-04-12 22:00:00,2024-04-12 22:15:00,13.0,1
2622673,2024-04-12 22:00:00,2024-04-12 22:15:00,21.0,1
2622941,2024-04-12 22:00:00,2024-04-12 22:15:00,23.0,1
2623697,2024-04-12 22:00:00,2024-04-12 22:15:00,29.0,1
2623591,2024-04-12 22:00:00,2024-04-12 22:15:00,26.0,1
2622840,2024-04-23 00:00:00,2024-04-23 00:15:00,84.0,1
270778,2024-04-23 15:00:00,2024-04-23 15:15:00,44.0,1
2578985,2024-06-13 14:15:00,2024-06-13 14:30:00,13.6,1
6893,2024-06-13 20:00:00,2024-06-13 20:15:00,11.6,1
2623638,2024-06-17 21:00:00,2024-06-17 21:15:00,18.0,1
2884396,2024-06-19 23:00:00,2024-06-19 23:15:00,9.6,1
225832,2024-06-20 13:00:00,2024-06-20 13:15:00,10.0,1
10801,2024-07-03 04:00:00,2024-07-03 04:15:00,0.2702,1
2876864,2024-07-11 14:00:00,2024-07-11 14:15:00,12.0,1
2623335,2024-07-11 14:00:00,2024-07-11 14:15:00,14.0,1
2623190,2024-07-11 14:00:00,2024-07-11 14:15:00,19.0,1
9497,2024-07-11 15:00:00,2024-07-11 15:15:00,5.0,1
2623742,2024-07-11 16:00:00,2024-07-11 16:15:00,10.0,1
2623108,2024-07-11 16:00:00,2024-07-11 16:15:00,30.0,1
2623172,2024-07-11 16:00:00,2024-07-11 16:15:00,13.0,1
2622745,2024-07-11 16:00:00,2024-07-11 16:15:00,25.0,1
2884395,2024-07-11 16:00:00,2024-07-11 16:15:00,7.5,1
2623759,2024-07-11 16:00:00,2024-07-11 16:15:00,8.0,1
2622572,2024-07-11 16:00:00,2024-07-11 16:15:00,9.0,1
2622712,2024-07-11 16:00:00,2024-07-11 16:15:00,28.0,1
2623140,2024-07-11 16:00:00,2024-07-11 16:15:00,12.0,1
2960311,2024-07-18 15:00:00,2024-07-18 15:15:00,48.93381118774414,1
2960311,2024-07-19 05:00:00,2024-07-19 05:15:00,7.08690470457077,1
2953756,2024-07-21 20:00:00,2024-07-21 20:15:00,15.872727220708674,1
2975591,2024-07-23 19:00:00,2024-07-23 19:15:00,0.02500000037252903,1
2891222,2024-07-25 22:00:00,2024-07-25 22:15:00,10.09,1
2988210,2024-07-29 03:00:00,2024-07-29 03:15:00,1.0,1
2962,2024-07-30 10:00:00,2024-07-30 10:15:00,6.88,1
4693,2024-07-30 11:00:00,2024-07-30 11:15:00,2.61,1
3579,2024-07-30 11:00:00,2024-07-30 11:15:00,3.53,1
4697,2024-07-30 11:00:00,2024-07-30 11:15:00,4.34,1
4775,2024-07-30 11:00:00,2024-07-30 11:15:00,3.06,1
2999471,2024-07-31 18:00:00,2024-07-31 18:15:00,46.400001525878906,1
2995907,2024-08-01 15:00:00,2024-08-01 15:15:00,1.8958333432674408,1
3012373,2024-08-12 01:00:00,2024-08-12 01:15:00,2.0,1
2976721,2024-08-23 06:00:00,2024-08-23 06:15:00,5.92083340883255,1
2884393,2024-08-29 18:00:00,2024-08-29 18:15:00,3.5,1
326060,2024-09-08 15:00:00,2024-09-08 15:15:00,13.0,1
2622985,2024-09-14 03:00:00,2024-09-14 03:15:00,6.0,1
2993582,2024-09-27 15:00:00,2024-09-27 15:15:00,23.53958336512248,1
2821629,2024-10-01 07:00:00,2024-10-01 07:15:00,9.317301511764526,1
981,2024-10-01 15:00:00,2024-10-01 15:15:00,4.9,1
1374750,2024-10-02 13:00:00,2024-10-02 13:15:00,5.270000020662944,1
2960646,2024-10-04 12:00:00,2024-10-04 12:15:00,14.25,1
2577003,2024-10-06 12:00:00,2024-10-06 12:15:00,2.269387756075178,1
2873096,2024-10-07 14:15:00,2024-10-07 14:30:00,0.0,1
2970371,2024-10-09 22:00:00,2024-10-09 22:15:00,11.5,1
2667330,2024-10-17 16:00:00,2024-10-17 16:15:00,0.9,1
2889803,2024-10-18 14:00:00,2024-10-18 14:15:00,5.08,1
2822929,2024-10-30 01:00:00,2024-10-30 01:15:00,2.1,1
2960633,2024-11-10 07:45:00,2024-11-10 08:00:00,0.0,1
2603530,2024-11-12 03:00:00,2024-11-12 03:15:00,2.306249996026357,1
3007557,2024-11-19 13:00:00,2024-11-19 13:15:00,3.4,1
